"QUERY","Count(DISTINCT F.TIMEID)"
"fifa world cup 1930 first mexican to score penalty shot",1
"fifa wrold cup 2006",1
"fifaworldcupespn",1
"world cup soccer sleeping bag",1
"world cup soccer balls",1
"espn world cup soccer",1
"2006 world cup fifa",1
"u.s. soccer world cup",1
"africa world cup soccer",1
"fifa.worldcup.co",1
"fifaworldcupgames1990",1
"world cup soccer matches in england",1
"world cub soccer tournament",1
"usa world cup soccer",1
"world cup soccer 2004",1
"world soccer cup 2006",1
"qualifications for 2006 world cup",1
"adidas 2006 teamgeist fifa world cup official match ball",1
"worldcupsoccer2006gametimes",1
"fifaworldcop.yahoo.com",1
"www. fifa 2006 world cup.com",1
"world cup soccer results",1
"http www.fifaworldcup.com 06 en tickets taf.html",1
"2006 fifa world cup soccer",1
"world cup soccer t-shirts",1
"fifaworldcuptickets",1
"usa pro soccer world cuo clothing k",1
"www fifaworldcup2006.com",1
"the 2006 stanley cup finals",1
"juan pirata fuente fifa world cup 1930",1
"fifa world cup 1940",1
"2006 stanley cup finals schedule",1
"espn fifa 06 world cup commercial",1
"fifa world cup ranking",1
"www.wolrdcupfifa.com",1
"worldcup soccer",1
"world cup soccer 2006 tv schedule",1
"soccer world cup christian",1
"worldcup soccer statue",1
"pedro kozak world cup soccer",1
"worldcupsoccer game",1
"fifaworldcup.yahoo.com'",1
"2006 fifa world cup - preliminaries photos",1
"world cup soccer trip packages",1
"2006 fifa world cup game for ps2",1
"fifaworlscup",1
"soccer world cup eastern time",1
"www.fifaworldcup.html",1
"www.wordcupsoccer.com",1
"italy quilifications for 2006 world cup",1
"u10 finalists in the 2006 jefferson cup tournament va",1
"friisco world cup soccer texas",1
"world cup soccer groups",1
"fifa world cup 1998 bracet board",1
"world soccer cup germany 2006",1
"scoccerworldcup.com",1
"out ot 71natlons brdzll hds oppedred in the most world cup soccer tourndments-17timesl.",1
"world cup mascotsevery world cup has its own mascot. for 2006 we have the all-singing all-dancing goleo iv and his friend pille a talking football. have you ever wondered what kind of mascots there were in previous world cups check out mascots from over the years and vote for your favourite 2006 germany - goleo vimeet goleo vi the official mascot of the 2006 fifa world cup. along with his sidekick pille the talking football his job is to make the world cup a rrroaring success",1
"video of 1972 world cup soccer",1
"world cup soccer history",1
"www.worldcup2006usasoccerteam.com",1
"world cup soccer final",1
"1930 fifa world cup",1
"rules on advancement at world cup soccer",1
"worldcupsoccer2006",1
"soccer world cup england",1
"wordcup soccer shop.com",1
"fifa geremay world cup tour ticket price",1
"fifa worldcup",1
"soccer world cup eastern time for games",1
"1930 fifa world cup penalty shot by mexico",1
"www.2006fifaworldcup.com",1
"fifa world cup shirts",1
"spain's chances in 2006 fifa world cup",1
"worldcup soccer 2006",1
"mexican players fifa world cup",1
"2006 smr cup finals",1
"soccer. com worldcuptrivia",1
"free fifa 2006 world cup cursors",1
"us national soccer world cup 2006 team",1
"world cup soccer fan forum",1
"world cup soocer",1
"msn.comfifaworldcup.com",1
"world cup soccer start date",1
"fifaworldcut2006.com",1
"worlcupsoccer2006.com",1
"www.fifaworldcup",1
"www.worlfifacup2006.com",1
"www.worldsoccershop.cpm",1
"world cup soccer rules",1
"soccer world cups",1
"wwwfifaworldcup.yahoo.com",1
"u.s.world cup soccer team",1
"world soccer cup",1
"www fifa world cup calendar.com",1
"fifa world cup 1998 3rd place finish",1
"women's world cup soccer",1
"world cup soccer in munich",1
"http www.the fifa world cup.com",1
"2006 world cup soccer bal",1
"fifa word cup 06",1
"wolrd cup soccer",1
"ps2 fifa world cup germany 2006 team roster",1
"fifa world cupc",1
"www.fifaworldcup.com 06 de tickets selfservice.html",1
"worldcupsoccer.com",1
"world cup soccer munich",1
"worldcup soccer trophy",1
"tournament structure of fifa world cup",1
"www.population fifa world cup.yahoo.com",1
"fifa wold cup 1990",1
"worldcup soccer medal",1
"structure of fifa world cup",1
"world cup finals dressage",1
"http www.2006 fifa world cup.com",1
"the head of fifa said bird flu could force the cancellation of june;s world cup in germany in what sport",1
"teams qualifying for the fifa world cup 2006",1
"world cup soccer clothing line",1
"fifa.worldcup.com",1
"fifa worldcup 2006",1
"fif world cup",1
"2006worldcupsoccer.com",1
"fifa world cup 1998 standing",1
"1930 fifa world cup penal shot by mexico",1
"soccer world cup schedule",1
"www.fifaworldcup.c",1
"fifa 06 world cup commercial",1
